web_scraper_order,web_scraper_start_url,container_link,name,price,location,image
"1765224480-1","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-5050095","Chat Persan","400 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1765224482-2","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/buf-5054268","Bœuf","800 000 CFA","Mbao, Dakar, Sénégal",""
"1765224484-3","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/buf-5054269","Bœuf","800 000 CFA","Mbao, Dakar, Sénégal",""
"1765224487-4","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/tortues-terrestres-5066823","Tortues terrestres","35 000 CFA","Ouest Foire, Dakar, Sénégal",""
"1765224489-5","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/poissons-aquarium-5068623","Poissons Aquarium","8 500 CFA","Dakar, Sénégal",""
"1765224492-6","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-siamois-5092278","Chaton Siamois","235 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1765224494-7","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-5096028","Chaton","Prix sur demande","Dakar Plateau, Dakar, Sénégal",""
"1765224497-8","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-5103176","Perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal",""
"1765224499-9","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-5125396","Perroquets","15 000 CFA","Thies, Sénégal",""
"1765224502-10","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-perruches-ondulees-5138284","Perroquet perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal",""
"1765224504-11","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5179428","Boeuf","Prix sur demande","Niaga, Sénégal",""
"1765224507-12","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/caille-5182728","Caille","15 000 CFA","Keur Massar, Sénégal",""
"1765224509-13","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/canards-males-et-femelles-5185900","Canards mâles et femelles","Prix sur demande","Thies, Sénégal",""
"1765224512-14","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/hamster-5189132","Hamster","15 000 CFA","Almadies 2, Dakar, Sénégal",""
"1765224514-15","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5205943","Boeuf","550 CFA","Niaga, Sénégal",""
"1765224517-16","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-5213818","Chaton Angora","210 000 CFA","Sacré-Coeur, Dakar, Sénégal",""
"1765224519-17","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-5214349","Perroquet","60 000 CFA","Point E, Dakar, Sénégal",""
"1765224522-18","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5231174","Boeuf","Prix sur demande","Niaga, Sénégal",""
"1765224524-19","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-5234859","Chaton Scottish","500 000 CFA","Fann, Dakar, Sénégal",""
"1765224526-20","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-5237101","Perroquets","60 000 CFA","Point E, Dakar, Sénégal",""
"1765224529-21","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/vaches-montbeliarde-5262041","Vaches Montbéliarde","900 CFA","Bambey, Sénégal",""
"1765224531-22","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chatons-siamois-5275205","Chatons Siamois","150 000 CFA","Ngor, Dakar, Sénégal",""
"1765224534-23","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-5278827","Chaton","375 000 CFA","Fann, Dakar, Sénégal",""
"1765224536-24","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/couple-pintades-adultes-5295025","Couple pintades adultes","35 000 CFA","Sicap foire, Dakar, Sénégal",""
"1765224539-25","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-5297087","Chat Persan","450 000 CFA","Point E, Dakar, Sénégal",""
"1765224541-26","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/cheval-5300026","Cheval","Prix sur demande","Ouakam, Dakar, Sénégal",""
"1765224544-27","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/canards-5300877","Canards","7 000 CFA","Hann Bel-Air, Dakar, Sénégal",""
"1765224546-28","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/vaches-5308237","Vaches","325 CFA","Bambey, Sénégal",""
"1765224549-29","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chevre-race-ndama-5315130","Chèvre race ndama","350 000 CFA","Rufisque, Sénégal",""
"1765224551-30","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5317378","Boeuf","350 000 CFA","Bambey, Sénégal",""
"1765224554-31","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/cailles-5321576","Cailles","Prix sur demande","Thies, Sénégal",""
"1765224556-32","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-rose-gorge-5329928","Perroquet Rose Gorge","50 000 CFA","Point E, Dakar, Sénégal",""
"1765224558-33","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chatons-5330509","Chatons","200 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1765224561-34","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turc-5341379","Chaton Angora turc","Prix sur demande","Point E, Dakar, Sénégal",""
"1765224563-35","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-5344588","Chaton","350 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1765224565-36","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/bouc-5350345","Bouc","80 000 CFA","Keur Massar, Sénégal",""
"1765224568-37","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/dinde-5350940","Dinde","30 000 CFA","Thies, Sénégal",""
"1765224570-38","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/veau-5363603","Veau","6 500 000 CFA","Sicap Liberté, Dakar, Sénégal",""
"1765224573-39","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/poisson-aquarium-5370855","Poisson Aquarium","7 500 CFA","Dakar, Sénégal",""
"1765224576-40","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/dindons-et-dindes-5374129","Dindons et dindes","Prix sur demande","Thies, Sénégal",""
"1765224578-41","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/buf-5401469","Bœuf","625 CFA","Dakar, Sénégal",""
"1765224581-42","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/taureaux-5419672","Taureaux","950 000 CFA","Bambey, Sénégal",""
"1765224583-43","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/hamster-5422322","Hamster","15 000 CFA","Dakar, Sénégal",""
"1765224585-44","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/tortue-terrestre-sulcata-5422356","Tortue terrestre sulcata","Prix sur demande","Dakar, Sénégal",""
"1765224588-45","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chatons-5426216","Chatons","200 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1765224590-46","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/taureau-5427578","Taureau","Prix sur demande","Bambey, Sénégal",""
"1765224592-47","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-5435961","Chat Siamois","250 000 CFA","HLM, Dakar, Sénégal",""
"1765224595-48","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/buf-5437295","Bœuf","650 CFA","Bambey, Sénégal",""
"1765224597-49","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/poulet-et-dinde-5441026","Poulet et dinde","Prix sur demande","Thies, Sénégal",""
"1765224599-50","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/bufs-5452005","Bœufs","650 CFA","Bambey, Sénégal",""
"1765224602-51","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/bufs-5452011","Bœufs","550 CFA","Bambey, Sénégal",""
"1765224605-52","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/buf-5454263","Bœuf","Prix sur demande","Niaga, Sénégal",""
"1765224607-53","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-5462432","Perroquets","60 000 CFA","Point E, Dakar, Sénégal",""
"1765224609-54","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-5473339","Chaton persan","400 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1765224612-55","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-5473342","Chaton Scottish","750 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1765224614-56","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/vache-5479568","Vache","850 000 CFA","Rufisque, Sénégal",""
"1765224617-57","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5480832","Boeuf","Prix sur demande","Niaga, Sénégal",""
"1765224620-58","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5480837","Boeuf","Prix sur demande","Niaga, Sénégal",""
"1765224623-59","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-ragdoll-5482181","Chaton Ragdoll","950 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1765224626-60","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-5485800","Chat siamois","Prix sur demande","Almadies, Dakar, Sénégal",""
"1765224630-61","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/lapin-nain-5493761","Lapin nain","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal",""
"1765224633-62","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/oie-5499869","Oie","40 000 CFA","Dakar, Sénégal",""
"1765224637-63","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-5504764","Chaton","35 000 CFA","Mariste, Dakar, Sénégal",""
"1765224640-64","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/paon-5506967","Paon","Prix sur demande","Thies, Sénégal",""
"1765224642-65","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-5512930","Chat  siamois","Prix sur demande","Almadies, Dakar, Sénégal",""
"1765224644-66","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chats-5512934","Chats","Prix sur demande","Almadies, Dakar, Sénégal",""
"1765224648-67","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/cailles-et-ufs-de-caille-5514762","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal",""
"1765224653-68","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/oies-toulouse-5520138","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal",""
"1765224656-69","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chaton-chartreux-5523792","Chaton Chartreux","100 000 CFA","Ouest Foire, Dakar, Sénégal",""
"1765224660-70","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/calopsite-elegante-5530646","Calopsite élégante","75 000 CFA","Point E, Dakar, Sénégal",""
"1765224663-71","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/angora-turc-chat-5536029","Angora turc-chat","Prix sur demande","Sicap Liberté, Dakar, Sénégal",""
"1765224665-72","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/taureau-metis-5538746","Taureau métis","2 500 000 CFA","Fatick, Sénégal",""
"1765224669-73","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/taureau-metis-dinsemination-5543760","Taureau métis d'insémination","2 500 000 CFA","Fatick, Sénégal",""
"1765224672-74","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-chinchilla-5543922","Chat Persan chinchilla","170 000 CFA","Sicap Liberté, Dakar, Sénégal",""
"1765224674-75","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/grand-bouc-hijazi-5547149","Grand Bouc Hijazi","1 200 CFA","Saint Louis, Sénégal",""
"1765224677-76","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/pintades-5547215","Pintades","Prix sur demande","Thies, Sénégal",""
"1765224680-77","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-perruches-ondulees-5560070","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal",""
"1765224683-78","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/uf-a-couver-5570463","Œuf à couver","Prix sur demande","Sicap foire, Dakar, Sénégal",""
"1765224685-79","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/bufs-5577776","Bœufs","Prix sur demande","Pikine, Sénégal",""
"1765224689-80","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/vache-5587581","Vache","350 000 CFA","Patte d'oie, Dakar, Sénégal",""
"1765224691-81","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/buf-5632012","Bœuf","725 CFA","Bambey, Sénégal",""
"1765224694-82","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/buf-5632019","Bœuf","650 CFA","Bambey, Sénégal",""
"1765224696-83","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/taureau-5634272","Taureau","2 500 000 CFA","Fatick, Sénégal",""
"1765224699-84","https://sn.coinafrique.com/categorie/autres-animaux","https://sn.coinafrique.com/annonce/autres-animaux/bufs-5642438","Bœufs","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal",""
