web_scraper_order,web_scraper_start_url,container_links,name,price,location,image
"1765225189-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4158780","Pigeons","Prix sur demande","Thies, Sénégal","https://coinafrique-ads-photos.s3.amazonaws.com/photos/4058b985-f27.png"
"1765225191-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeon-4159080","Couple pigeon","10 000 CFA","Mariste, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225193-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-frises-milanais-4165971","Pigeons frisés milanais","200 000 CFA","Cambérène, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225199-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageurs-manteau-4167562","Pigeons voyageurs  manteau","15 000 CFA","Thies, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225201-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageurs-4167567","Pigeons voyageurs","15 000 CFA","Thies, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225204-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4167601","Pigeons","150 000 CFA","Thies, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225206-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-hollandais-4170233","Poule hollandais","8 000 CFA","Touba, Sénégal","https://coinafrique-ads-photos.s3.amazonaws.com/photos/e6501695-d7a.png"
"1765225209-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-4172814","Poulet de chair","3 500 CFA","Cambérène, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225211-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-lahore-4177942","Pigeons Lahore","15 000 CFA","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225213-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-boulant-de-pomeranie-4178980","Pigeon Boulant de poméranie","13 000 CFA","Mariste, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225216-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-boulant-de-pomeranie-4178981","Pigeon Boulant de poméranie","20 000 CFA","Mariste, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225219-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-4186084","Poussins","35 000 CFA","Cambérène, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225221-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-padda-de-java-4191356","Pigeon Padda de java","20 000 CFA","Point E, Dakar, Sénégal","https://coinafrique-ads-photos.s3.amazonaws.com/photos/7c9efd36-47d.png"
"1765225224-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-4193114","Pigeon Texan","70 000 CFA","Mbour, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225226-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-metisage-4194884","Lapin metisage","Prix sur demande","Mariste, Dakar, Sénégal","https://s3-eu-west-1.amazonaws.com/coinafrique-app-assets/221783951852_user_photo223437_1548965813.31.png"
"1765225228-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereau-4195833","Lapereau","15 000 CFA","Mariste, Dakar, Sénégal","https://s3-eu-west-1.amazonaws.com/coinafrique-app-assets/221783951852_user_photo223437_1548965813.31.png"
"1765225231-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-4198961","Pigeon","20 000 CFA","Gueule Tapée, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225233-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-manteau-opale-4202860","Pigeons manteau opale","6 000 CFA","Mariste, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225236-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cailleteaux-4205412","Cailleteaux","250 CFA","Thies, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225238-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bleue-holland-4206875","Poussins bleue Holland","35 000 CFA","Cambérène, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225240-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-4207913","Lapin géant","50 000 CFA","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225243-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-lapins-4208070","Couple lapins","Prix sur demande","Mbao, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225245-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-brahman-hermines-4212808","Poulets brahman herminés","135 000 CFA","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225248-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-cochin-4218824","Coq cochin","45 000 CFA","Yoff, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225250-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-de-chair-bleu-hollandais-4221943","Poussins de chair - bleu hollandais","Prix sur demande","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225252-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4222721","Pigeon voyageur","7 000 CFA","Ouakam, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225255-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4222723","Pigeon voyageur","7 000 CFA","Ouakam, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225257-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-tambour-allemand-4223933","Pigeon Tambour Allemand","50 000 CFA","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225260-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-mondain-brun-4230459","Pigeon mondain brun","500 000 CFA","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225262-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-gris-de-touraine-4230722","Lapin Gris de Touraine","35 000 CFA","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225264-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapine-4235319","Lapine","Prix sur demande","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225267-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondains-4240446","Pigeons Mondains","50 000 CFA","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225269-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-brahmans-4243414","Poussins Brahmans","30 000 CFA","Keur Massar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225271-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-4244917","Lapereaux","45 000 CFA","Mariste, Dakar, Sénégal","https://s3-eu-west-1.amazonaws.com/coinafrique-app-assets/221783951852_user_photo223437_1548965813.31.png"
"1765225274-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-californien-4248635","Lapin californien","Prix sur demande","Saly, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225276-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapines-4249408","Lapines","Prix sur demande","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225279-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-cochin-4255246","Poussins cochin","7 500 CFA","Pikine, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225281-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-bleu-hollandais-4224766","Poule Bleu Hollandais","7 000 CFA","Mbao, Dakar, Sénégal","https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=1866903653402187&height=50&width=50&ext=1566381839&hash=AeR1oSohRx16lgvY"
"1765225283-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4268327","Lapin","30 000 CFA","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225286-40","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-4268955","Lapereaux","10 000 CFA","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225288-41","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-boulan-4277890","Pigeon Boulan","45 000 CFA","Louga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225290-42","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-boulan-4277905","Pigeon Boulan","15 000 CFA","Louga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225293-43","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-4283570","Poulets de chair","4 000 CFA","Keur Massar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225295-44","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-messager-4286623","Pigeon Messager","25 000 CFA","Rufisque, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225298-45","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-4287411","Lapins","Prix sur demande","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225300-46","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4287413","Pigeons","Prix sur demande","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225302-47","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-bleu-holland-4287658","Poulets  bleu Holland","6 000 CFA","Rufisque, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225305-48","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nain-loutre-4289564","Lapin nain Loutre","30 000 CFA","Ouakam, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225307-49","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-hermine-4290479","Coq hermine","60 000 CFA","Rufisque, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225309-50","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-brahmanes-4290482","Poussins Brahmanes","30 000 CFA","Rufisque, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225312-51","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4296184","Lapin","80 000 CFA","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225314-52","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4298076","Lapin","15 000 CFA","Ouakam, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225317-53","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4302356","Lapin","Prix sur demande","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225319-54","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-4302571","Poules","Prix sur demande","Thies, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225321-55","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4312499","Lapin","40 000 CFA","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225324-56","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-de-chair-4323837","Poussins de chair","Prix sur demande","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225326-57","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-4324644","Lapereaux","Prix sur demande","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225329-58","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-4333705","Lapereaux","10 000 CFA","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225331-59","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-4336471","Lapins","Prix sur demande","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225333-60","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4337664","Lapin","Prix sur demande","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225336-61","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4337665","Lapin","Prix sur demande","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225338-62","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-papillon-4347215","Lapin   Papillon","90 000 CFA","Rufisque, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225340-63","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4359251","Lapin","Prix sur demande","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225343-64","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-de-race-4368566","Pigeons de race","350 000 CFA","Cambérène, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225345-65","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4368816","Lapin","10 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225348-66","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-brahman-hermine-4369295","Poule Brahman herminé","Prix sur demande","Keur Massar, Sénégal","https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=1367952870034467&height=50&width=50&ext=1569977219&hash=AeS1-9ngqsHmdlWw"
"1765225350-67","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-culbutant-francais-4378163","Pigeons Culbutant français","50 000 CFA","Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225353-68","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereau-4381621","Lapereau","10 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225355-69","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-4384422","Lapins","20 000 CFA","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225357-70","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-brahma-4389249","Poule Brahma","25 000 CFA","Medina, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225360-71","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-4399877","Poussins","26 500 CFA","Pikine, Sénégal","https://coinafrique-ads-photos.s3.amazonaws.com/photos/8fee1a01-caa.png"
"1765225362-72","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4406771","Pigeon voyageur","8 000 CFA","Rufisque, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225364-73","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4406776","Pigeon voyageur","8 000 CFA","Rufisque, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225367-74","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4408360","Lapin","35 000 CFA","Mbao, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225369-75","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-4418898","Pigeon","2 000 CFA","Grand Yoff, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225371-76","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4418908","Pigeon voyageur","5 000 CFA","Grand Yoff, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225374-77","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4418917","Pigeons","3 000 CFA","Grand Yoff, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225376-78","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageur-de-competition-4418928","Pigeons voyageur de compétition","15 000 CFA","Grand Yoff, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225379-79","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cochons-dinde-4425812","Cochons d'Inde","15 000 CFA","Keur Massar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225381-80","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereau-4425850","Lapereau","10 000 CFA","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225383-81","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereau-4433087","Lapereau","10 000 CFA","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225386-82","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-4434579","Lapins","Prix sur demande","Rufisque, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225388-83","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4435893","Lapin","Prix sur demande","Niaga, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225391-84","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-4444985","Coqs","Prix sur demande","Ouakam, Dakar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
"1765225396-85","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=2","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-4453957","Lapin","Prix sur demande","Keur Massar, Sénégal","https://static.coinafrique.com/static/images/defaultUser.png"
